OBJECTID,ID,DIR,LENGTH,LINKID,COUNTRY,JURISCODE,JURISNAME,ROADNUM,ROADNAME,ADMIN,SURFACE,LANES,SPEEDLIM,CLASS,NHS,BORDER,Shape__Length
126156,541133,0,0.04,02_6696745,2,02_41,Oregon, , ,Municipal,Paved,4,72,3,10,0,0.000380118953909349
126150,541128,0,0.02,02_6696689,2,02_41,Oregon, , ,Municipal,Paved,4,72,3,10,0,0.000192276362570088
123245,541993,0,1.76,02_6759159,2,02_41,Oregon,S43,MACADAM AV,State,Paved,3,72,3,10,0,0.016219336100437
127822,542498,0,0.02,02_6769887,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,4,104,1,1,0,0.000163893222256461
128065,543155,0,0.02,02_6790202,2,02_41,Oregon, , ,Municipal,Paved,6,72,3,10,0,0.000135003749691435
127573,542888,0,0.7,02_6780798,2,02_41,Oregon,U30  P,LOMBARD ST,State,Paved,4,72,3,7,0,0.00832545050388886
128314,543940,0,0.04,02_6819983,2,02_53,Washington,I205, ,State,Paved,4,96,1,1,0,0.000448445946762803
128071,543402,0,2.04,02_6803247,2,02_53,Washington,S500,NE EVERETT ST,State,Paved,2,80,4,0,0,0.0198896213696922
128320,543949,0,0,02_6820076,2,02_53,Washington,I205, ,State,Paved,4,96,1,1,0,6.70828781188707E-06
125658,540823,0,2.5,02_6686840,2,02_41,Oregon,S99W,W PACIFIC HWY,State,Paved,2,88,3,7,0,0.0283116778689723
125901,540973,0,0.55,02_6692175,2,02_41,Oregon,S8,TUALATIN VALLEY HWY,State,Paved,2,72,3,7,0,0.00694901114708599
125907,540938,0,0.5,02_6692462,2,02_41,Oregon,U26,SUNSET HWY,State,Paved,4,88,2,7,0,0.00603979406378429
126648,542988,0,0.47,02_6784173,2,02_41,Oregon,S224, ,State,Paved,2,88,3,10,0,0.00458138672441404
128563,543794,0,1.61,02_6818625,2,02_53,Washington, ,NE 112TH AV,Municipal,Paved,4,56,3,10,0,0.0145101224615228
126007,541042,0,0.21,02_6694911,2,02_41,Oregon,S99W,W PACIFIC HWY,State,Paved,2,88,3,7,0,0.00257159795443926
126001,541040,0,0.23,02_6694797,2,02_41,Oregon,S217,BEAVERTON-TIGARD HWY,State,Paved,4,88,2,7,0,0.00232730923726774
127673,542238,0,1.27,02_6766956,2,02_41,Oregon,S99E,MCLOUGHLIN BLVD,State,Paved,6,72,3,7,0,0.0123401123986426
127040,543025,0,0.53,02_6786743,2,02_41,Oregon,I84,COLUMBIA RIVER HWY,State,Paved,6,104,1,1,0,0.00671668648467136
123345,541618,0,1.44,02_6723867,2,02_53,Washington, ,NW LAKESHORE AV,Municipal,Paved,2,40,4,0,0,0.0148477436469445
128171,543957,0,0.06,02_6820191,2,02_53,Washington,I205, ,State,Paved,4,96,1,1,0,0.000689404103038849
126548,543493,0,0.31,02_6822542,2,02_53,Washington, ,NE FOURTH PLAIN RD,Municipal,Paved,4,64,3,10,0,0.00386195439626666
128165,543952,0,0.11,02_6820107,2,02_53,Washington, ,NE ANDRESEN RD,Municipal,Paved,4,72,4,0,0,0.0011214826016029
126050,540902,0,0,02_6689209,2,02_41,Oregon,S8,TUALATIN VALLEY HWY,State,Paved,4,64,3,7,0,3.00037304157286E-06
126199,541073,0,0.12,02_6695731,2,02_41,Oregon, , ,Municipal,Paved,2,72,3,10,0,0.00142342285169351
127773,542573,0,0.08,02_6771687,2,02_41,Oregon, , ,Municipal,Paved,2,40,3,10,0,0.00102400232556715
123202,542406,0,0.13,02_6767731,2,02_41,Oregon,U30  B,BURNSIDE ST,State,Paved,2,72,3,10,0,0.00166021266448097
122953,541415,0,0.01,02_6705251,2,02_41,Oregon, ,EVERETT ST,Municipal,Paved,2,72,4,8,0,0.000152003225865336
127530,542682,0,0.07,02_6774363,2,02_41,Oregon, ,GOING ST,Municipal,Paved,4,64,4,8,0,0.000855014937499743
127281,543075,0,0.02,02_6788091,2,02_41,Oregon,I205,E PORTLAND FRWY,State,Paved,6,88,1,1,0,0.000196400162768657
128363,543683,0,0.44,02_6812424,2,02_53,Washington, ,GRAND BLVD,Municipal,Paved,2,56,3,10,0,0.00475812608941737
128612,543792,0,1.06,02_6818454,2,02_53,Washington,I205, ,State,Paved,4,96,1,1,0,0.0103092792836677
128022,543201,0,0.85,02_6791484,2,02_41,Oregon, ,BURNSIDE RD,Municipal,Paved,4,72,3,7,0,0.0105294166786715
127332,542069,0,0.58,02_6760878,2,02_41,Oregon,S99E,MCLOUGHLIN BLVD,State,Paved,4,64,3,10,0,0.00521427662502564
126299,541454,0,0.18,02_6706548,2,02_41,Oregon,U30,ST HELENS RD,State,Paved,4,72,3,7,0,0.00198005473562033
127381,542170,0,0.78,02_6762613,2,02_41,Oregon,S224,MILWAUKIE EXWY,State,Paved,4,88,2,7,0,0.00931166666974153
126250,541350,0,0.14,02_6703809,2,02_41,Oregon,I405,STADIUM EXWY,State,Paved,6,104,1,1,0,0.00129719854736196
127873,542553,0,0.17,02_6771072,2,02_41,Oregon,S99E,UNION AV,State,Paved,4,48,3,10,0,0.00149309840169743
127922,543172,0,0.16,02_6790417,2,02_41,Oregon, , ,Municipal,Paved,6,72,3,0,0,0.00145277042446696
123053,542738,0,0.45,02_6775860,2,02_41,Oregon,S99E,UNION AV,State,Paved,4,88,3,8,0,0.004504346349405
128463,543629,0,0.08,02_6810950,2,02_53,Washington, ,E FOURTH PLAIN BLVD,Municipal,Paved,4,48,3,10,0,0.00100212990942624
128414,543785,0,0.05,02_6815873,2,02_53,Washington,I205, ,State,Paved,4,96,1,1,0,0.000563862271837145
126236,541117,0,0.02,02_6696599,2,02_41,Oregon, , ,Municipal,Paved,3,72,3,10,0,0.000206159095320313
127232,542846,0,0.08,02_6779558,2,02_41,Oregon,I205,E PORTLAND FRWY,State,Paved,6,88,1,1,0,0.000706999744032544
127896,542661,0,0.89,02_6775458,2,02_41,Oregon, ,KILLINGSWORTH ST,Municipal,Paved,2,64,4,0,0,0.0113570267010271
127564,542887,0,1.08,02_6780628,2,02_41,Oregon,U30 P,COLUMBIA BLVD,State,Paved,4,40,3,8,0,0.0137655156031927
128489,543574,0,0.13,02_6809517,2,02_53,Washington, ,W 15TH ST,Municipal,Paved,2,56,3,0,0,0.00163495797244875
125904,540974,0,0.83,02_6692285,2,02_41,Oregon, ,MURRAY BLVD,Municipal,Paved,4,72,3,7,0,0.00811283710895033
126900,543230,0,0.16,02_6792506,2,02_41,Oregon, , ,Municipal,Paved,2,72,3,10,0,0.00145516711357222
128560,543900,0,0.03,02_6818602,2,02_53,Washington,S500, ,State,Paved,5,88,2,7,0,0.000416159784965155
126923,541960,0,0.48,02_6754982,2,02_41,Oregon,I205,E PORTLAND FRWY,State,Paved,4,88,1,1,0,0.00578561771437265
123296,542023,0,0.37,02_6758613,2,02_41,Oregon,S99E,MCLOUGHLIN BLVD,State,Paved,4,64,3,10,0,0.00372186748309087
126259,541359,0,0.02,02_6703910,2,02_41,Oregon,I405,STADIUM EXWY,State,Paved,6,104,1,1,0,0.000228969514232652
122964,541421,0,0.12,02_6705342,2,02_41,Oregon, ,GLISAN ST,Municipal,Paved,2,72,4,8,0,0.00148024713810437
127802,542603,0,0.08,02_6772315,2,02_41,Oregon, ,VICTORIA AVE,Municipal,Paved,2,72,3,8,0,0.000741269766886538
127919,543171,0,0.08,02_6790396,2,02_41,Oregon, , ,Municipal,Paved,6,72,3,10,0,0.000825972466606083
